R,F,M
4475,3,991.13
4493,4,1020.68
4411,5,2244.67
4409,10,3350.96
4434,3,1547.2
4566,3,925.71
4425,5,2048.07
4432,4,1462.72
4405,4,788.49
4458,5,3144.86
4463,2,490.85999999999996
4756,1,161.0
4709,1,146.85
4426,11,2380.85
4413,2,890.34
4566,1,213.70000000000002
4617,2,280.55
4391,10,2588.77
4602,2,1693.45
4493,3,1474.06
4661,1,143.37
4701,1,302.58
4390,3,1904.05
4384,5,2879.7000000000003
4643,2,969.0600000000001
4447,5,3099.7200000000003
4392,9,12669.98
4524,1,120.0
4433,2,1163.45
4391,8,2618.23
4537,2,333.97
4545,3,1516.24
4714,1,492.65000000000003
4608,1,112.32
4456,2,437.96
4434,4,559.97
4481,3,1119.74
4579,1,134.04
4386,15,3701.44
4413,2,595.25
4404,4,1910.01
4406,3,4628.75
4391,3,176.63
4596,1,426.6
4391,6,911.26
4394,5,2314.65
4384,11,3883.25
4390,9,4871.93
4386,4,1046.56
4423,1,166.20000000000002
4400,4,1305.33
4391,44,51527.3
4391,9,3965.62
4401,1,43.2
4500,1,640.14
4605,1,383.45
4454,3,1858.96
4434,2,2093.32
4471,6,2995.72
4391,9,2352.53
4625,1,310.26
4429,6,1611.59
4489,1,120.0
4427,6,2481.13
4447,1,508.58
4589,2,477.79
4393,5,1530.75
4497,2,605.0600000000001
4625,1,183.85000000000002
4546,1,311.65
4400,7,4975.24
4507,2,462.66
4405,3,857.91
4450,1,415.2
4399,8,2552.21
4399,4,1614.91
4544,2,588.22
4625,1,309.52
4601,1,134.7
4428,8,2270.4
4404,4,668.5600000000001
4510,8,898.7800000000001
4421,1,108.97999999999999
4503,2,1021.58
4643,1,409.57
4393,1,133.5
4657,1,282.93
4547,1,51.0
4540,4,1185.16
4598,1,90.6
4388,2,163.62
4748,1,174.4
4462,2,701.23
4426,1,227.46
4402,3,912.18
4414,4,2118.03
4405,1,151.5
4491,8,3717.35
4391,16,9257.52
4702,1,155.0
4678,1,100.5
4741,1,76.55
4568,1,286.21
4574,2,617.05
4427,2,401.25
4435,1,202.68
4409,1,646.0
4421,3,1247.69
4392,3,202.11
4679,1,142.4
4415,3,1738.1
4393,8,3212.84
4448,2,1043.46
4393,9,4671.47
4601,1,67.95
4385,9,3623.91
4448,2,487.99
4385,19,2612.96
4532,1,574.7
4387,13,4051.48
4513,4,1475.81
4416,6,1453.07
4502,1,156.75
4490,6,2157.73
4393,7,2704.03
4454,6,2059.4500000000003
4475,9,1135.92
4693,1,1063.0
4425,2,770.03
4745,1,121.05
4474,7,1496.98
4384,13,5958.9
4405,2,490.22
4386,3,1943.6
4393,6,1075.49
4482,1,387.52
4440,2,813.11
4383,6,4263.64
4601,1,265.2
4400,1,322.08
4406,10,4481.67
4433,2,363.34000000000003
4390,5,1259.66
4685,1,470.36
4392,6,2265.84
4404,6,1372.8
4481,1,89.06
4748,1,63.0
4689,1,131.9
4391,5,2357.6800000000003
4383,4,1712.89
4436,4,1420.2
4383,4,1122.0
4401,5,1163.23
4392,2,375.35
4401,4,963.82
4563,3,483.25
4443,2,667.84
4393,2,269.86
4573,1,119.93
4388,9,3191.35
4693,1,113.64
4538,1,1837.92
4493,3,434.34
4531,3,2103.06
4449,11,2040.33
4481,3,529.62
4629,3,1092.74
4412,7,2272.4
4400,4,598.8100000000001
4394,2,461.19
4486,8,1930.9
4457,2,234.34
4429,1,547.66
4454,3,925.85
4640,1,193.0
4402,4,1309.6
4636,2,316.25
4394,1,279.05
4547,2,636.51
4401,6,2065.5
4664,1,137.1
4433,1,321.92
4421,1,172.79
4409,6,1221.18
4450,1,1064.28
4590,1,463.38
4558,2,340.93
4390,5,2383.2400000000002
4408,1,139.56
4433,2,123.8
4694,2,538.8100000000001
4692,1,475.37
4425,5,1966.17
4409,3,847.4300000000001
4471,3,501.15
4566,2,251.21
4402,11,2517.63
4386,6,3543.26
4430,4,673.26
4400,8,6182.58
4400,5,2026.44
4406,6,1367.88
4405,2,275.52
4394,5,1314.81
4570,2,275.28
4483,3,455.59000000000003
4444,3,1068.05
4400,6,2076.89
4416,2,330.45
4447,1,174.37
4384,2,270.6
4407,4,974.54
4491,1,241.09
4414,9,1854.33
4402,9,4328.01
4385,55,8507.13
4420,1,364.21999999999997
4443,3,618.39
4408,6,2870.36
4619,4,932.85
4407,7,1949.72
4385,18,4630.04
4443,3,2897.7000000000003
4642,1,170.95
4440,1,355.56
4447,2,388.25
4398,2,537.48
4392,3,1029.16
4441,8,1632.65
4568,1,103.25
4411,16,3636.18
4407,2,2010.9
4388,5,2633.18
4386,8,4069.21
4533,2,652.8
4694,1,289.24
4393,2,772.12
4401,2,186.23
4534,1,164.22
4402,5,860.53
4393,4,2492.7200000000003
4440,2,312.54
4468,1,788.38
4390,22,2237.77
4458,3,1080.76
4386,18,5120.82
4478,4,3099.12
4439,2,1530.3600000000001
4384,1,244.64
4663,2,218.06
4386,7,2976.2400000000002
4562,9,1676.6200000000001
4755,1,35.400000000000006
4395,4,914.91
4386,1,168.63
4399,1,152.35
4423,1,114.11000000000001
4388,5,1081.2
4552,4,1033.06
4433,1,157.05
4659,1,237.36
4401,9,1602.04
4754,1,39.75
4398,4,1409.07
4418,3,561.24
4404,3,668.02
4390,2,373.2
4402,6,1740.6
4394,2,905.72
4427,1,226.92
4688,1,393.33
4393,1,213.96
4657,1,660.0
4384,93,12161.37
4398,14,16965.5
4387,4,1785.15
4455,4,601.56
4625,3,406.08000000000004
4392,3,650.04
4628,1,394.44
4588,2,412.78000000000003
4384,5,1788.3600000000001
4567,1,320.58000000000004
4415,5,888.9
4440,2,225.85
4579,2,899.63
4406,4,2791.27
4474,2,671.96
4387,2,965.23
4433,3,1006.98
4645,1,114.56
4649,1,344.90000000000003
4419,2,609.85
4433,1,443.6
4435,6,2984.49
4407,6,2107.38
4404,1,110.46
4441,1,96.12
4553,2,693.8100000000001
4450,2,830.76
4539,2,597.09
4584,1,270.15000000000003
4387,4,1461.65
4450,2,653.75
4460,1,114.17999999999999
4384,7,1930.8
4391,4,1932.23
4552,2,305.75
4400,4,919.72
4388,2,247.15
4391,9,2561.28
4469,2,285.74
4409,1,107.95
4411,4,770.98
4402,2,661.23
4443,5,1835.7
4407,1,195.25
4393,25,9351.6
4624,3,1293.98
4663,2,409.3
4617,2,765.55
4386,5,1736.4
4399,1,658.11
4414,6,2548.2400000000002
4408,16,28754.11
4454,3,498.95
4570,2,52.0
4408,5,1220.89
4489,1,628.38
4390,21,5596.15
4591,1,112.8
4427,2,355.05
4413,5,2114.33
4520,4,635.35
4647,1,172.9
4387,7,2078.95
4601,2,188.60999999999999
4384,5,1315.57
4597,1,109.13000000000001
4415,3,2230.5
4393,9,2606.12
4384,17,3251.79
4397,1,318.17
4394,9,1664.17
4581,1,179.0
4385,3,1126.37
4398,13,4921.04
4397,4,631.68
4393,11,2873.33
4412,3,917.07
4392,11,2667.15
4407,1,160.19
4407,4,867.38
4426,2,325.87
4384,5,1649.19
4388,3,663.8100000000001
4530,1,180.42000000000002
4393,6,1276.09
4407,1,719.33
4657,1,268.58
4756,1,328.64
4384,8,2065.06
4430,3,389.92
4391,8,2702.4900000000002
4399,12,9585.91
4386,32,6065.6900000000005
4386,3,1164.55
4425,7,1314.45
4387,7,3902.28
4580,3,1448.21
4394,6,1400.3400000000001
4399,7,1099.98
4495,5,1220.26
4632,1,328.2
4412,5,1415.75
4426,1,389.64
4470,1,563.15
4427,2,638.05
4392,11,5010.28
4398,1,738.96
4458,1,420.5
4527,4,1484.06
4387,3,1625.97
4680,1,89.2
4441,2,255.9
4646,1,300.52
4429,1,278.3
4412,3,254.11
4391,6,2473.37
4400,2,192.60000000000002
4385,8,10809.38
4615,2,876.42
4495,1,139.26
4441,3,1011.9
4434,11,2538.3
4510,2,730.86
4663,3,386.15
4437,2,447.68
4702,1,200.10000000000002
4409,2,289.99
4393,2,77.4
4390,2,679.4399999999999
4411,1,197.64000000000001
4399,4,745.06
4446,1,6.2
4404,1,228.99
4385,7,1319.91
4549,1,131.45000000000002
4384,17,8256.74
4435,3,173.74
4434,1,157.7
4430,12,4371.32
4444,1,193.09
4545,3,1235.75
4391,1,353.27
4398,4,546.4
4458,1,193.39
4422,8,2847.12
4423,11,2148.38
4752,2,214.18
4419,2,778.5
4580,1,271.85
4583,2,1110.34
4456,3,657.8
4447,2,272.07
4404,4,507.29
4749,1,48.800000000000004
4563,3,321.43
4393,4,1127.71
4386,12,2250.06
4579,3,2139.76
4412,4,697.55
4436,1,188.88
4400,6,1720.3
4393,3,102.44999999999999
4472,4,1649.5
4650,1,62.85
4436,6,3295.76
4426,4,2824.69
4446,4,3189.81
4531,1,309.4
4404,25,7930.54
4694,1,325.75
4406,2,511.35
4441,6,2836.69
4407,2,475.8
4461,7,2740.03
4502,2,645.65
4419,3,1290.53
4442,2,1173.12
4395,4,1353.74
4402,1,170.32
4435,1,125.79
4408,2,841.2
4412,1,266.76
4390,2,52.2
4393,12,14389.9
4568,3,710.28
4386,8,2953.59
4391,2,726.45
4644,1,327.25
4386,4,506.23
4593,1,519.68
4490,2,1465.32
4395,9,1486.05
4460,3,690.59
4402,1,255.39999999999998
4409,2,589.7
4401,6,761.59
4514,1,765.32
4635,1,364.8
4462,1,1862.0
4590,1,369.2
4719,1,135.9
4636,1,125.65
4531,2,554.38
4392,2,1237.8500000000001
4468,1,655.75
4390,20,11138.710000000001
4587,2,468.77000000000004
4390,4,1366.38
4406,6,1380.99
4394,9,1462.59
4408,1,332.66
4404,5,2816.13
4385,2,1025.44
4540,2,616.15
4386,7,3501.1
4457,1,277.8
4385,4,434.35
4418,4,1227.43
4474,2,307.48
4453,4,1268.98
4498,2,1610.15
4595,2,977.77
4413,2,1316.07
4433,1,749.1
4628,1,310.05
4415,1,223.88
4412,12,5900.25
4397,1,100.9
4455,2,290.82
4406,6,1101.97
4402,1,371.2
4462,1,311.69
4442,11,8099.49
4408,1,285.67
4395,1,336.85
4636,1,58.49
4530,3,483.73
4447,4,702.92
4391,2,262.97
4393,9,7044.68
4653,1,126.7
4392,5,1583.92
4630,1,206.21
4479,2,603.24
4397,1,186.77
4432,1,463.8
4413,1,147.59
4451,4,1592.06
4418,3,1137.11
4511,1,114.77
4490,3,1314.45
4420,1,89.94
4440,1,279.94
4440,7,790.86
4455,5,1936.3700000000001
4629,1,102.12
4402,2,202.37
4581,2,296.96
4398,2,326.4
4594,1,334.54
4421,2,231.98000000000002
4429,3,546.1999999999999
4553,2,443.49
4430,1,493.07
4498,4,1745.46
4530,1,1220.77
4398,28,6377.62
4434,1,574.36
4542,1,156.91
4395,3,1265.38
4418,1,308.94
4436,2,451.3
4426,2,394.71999999999997
4555,1,170.04
4416,1,125.58
4421,3,496.21000000000004
4649,1,279.51
4391,9,1957.57
4394,4,942.24
4386,11,6838.1
4392,10,1663.13
4416,1,369.46
4463,3,469.0
4413,4,1151.45
4391,4,639.63
4454,2,518.28
4387,4,653.19
4639,3,4972.3
4387,10,2726.87
4398,8,4276.36
4472,1,267.73
4455,3,444.83
4441,6,702.24
4392,47,20045.13
4553,1,179.93
4582,1,135.93
4414,1,537.0
4402,17,8008.25
4534,2,735.66
4392,15,5094.17
4652,1,343.62
4448,4,381.0
4656,1,121.17
4408,3,1935.66
4406,3,1414.01
4702,1,216.58
4387,3,724.61
4395,2,304.23
4658,2,1489.5
4408,11,2199.62
4423,9,1369.54
4391,4,302.11
4386,48,54534.14
4454,4,987.86
4596,1,370.79999999999995
4420,4,3158.13
4436,1,893.59
4461,3,1744.76
4429,2,553.36
4562,1,1109.53
4755,1,106.2
4476,2,982.0699999999999
4392,3,1043.41
4488,1,735.6700000000001
4460,1,773.03
4555,1,880.85
4390,32,9743.11
4595,4,895.61
4405,5,504.8
4639,1,88.19999999999999
4664,1,306.94
4404,2,1160.07
4393,6,2420.84
4691,1,381.32
4450,1,480.71
4598,2,457.81
4401,6,4597.02
4486,4,1370.6
4425,1,219.39
4387,1,248.08
4565,3,39916.5
4467,1,410.48
4716,3,876.0
4391,2,317.53
4414,2,703.36
4579,2,993.54
4401,7,2298.93
4400,5,1422.52
4694,6,319.5
4628,1,484.95
4406,4,996.1
4412,3,1567.48
4392,3,3646.83
4413,10,2760.56
4401,1,340.11
4400,4,1352.75
4397,5,1551.78
4517,1,244.8
4628,1,266.4
4516,1,358.82
4433,2,457.72
4497,3,1633.78
4390,2,2199.31
4405,2,184.19
4408,15,11528.48
4448,1,406.53
4443,4,1471.0
4433,11,3447.4
4552,1,330.11
4401,5,977.9300000000001
4510,3,982.42
4397,8,1387.99
4622,1,139.05
4385,4,1286.7
4622,2,178.96
4435,7,2354.25
4429,1,498.74
4608,1,259.45
4391,17,6580.44
4387,4,1194.73
4547,2,1327.16
4623,1,623.5
4393,1,301.29
4516,1,520.8000000000001
4400,10,5291.33
4392,13,4745.69
4414,1,329.25
4458,1,280.23
4384,3,961.49
4386,3,1936.07
4428,1,401.40000000000003
4384,30,18641.010000000002
4740,1,158.16
4401,2,304.47
4451,3,849.81
4756,1,487.75
4703,1,158.8
4408,1,106.56
4714,1,1289.5
4391,5,1624.05
4705,1,135.75
4454,1,224.14
4643,1,40.5
4401,5,2206.95
4750,1,87.5
4449,3,689.4799999999999
4537,2,622.85
4412,2,402.2
4453,1,310.62
4397,2,411.41
4384,16,4777.18
4384,41,16225.39
4502,3,1044.32
4443,1,499.32
4386,15,7616.53
4385,1,3861.0
4393,3,1079.6100000000001
4475,2,193.64
4442,4,1268.6999999999998
4470,5,1236.54
4408,6,1827.8
4740,1,316.58
4468,2,653.24
4393,4,420.29999999999995
4384,5,870.12
4608,1,331.18
4443,2,894.41
4624,1,101.8
4701,2,328.35
4384,8,1661.44
4429,3,734.94
4470,1,96.6
4393,11,5766.7699999999995
4559,1,305.75
4434,6,1778.96
4749,1,403.25
4701,1,585.0
4608,2,755.75
4741,2,322.08
4617,1,409.40000000000003
4693,1,154.41
4419,5,1219.4
4449,4,3386.71
4622,2,429.6
4496,2,612.06
4659,1,197.0
4600,12,2247.51
4681,1,321.05
4384,4,1412.32
4412,3,1071.99
4393,2,780.59
4427,5,1706.57
4449,8,1756.44
4457,1,316.68
4448,2,631.57
4517,3,2515.84
4621,2,514.15
4505,1,356.0
4414,13,6688.46
4392,11,10484.99
4419,2,740.78
4399,5,918.1999999999999
4510,1,300.36
4449,1,890.85
4531,1,98.45
4666,1,317.15
4551,2,623.16
4483,7,1810.77
4518,1,254.82
4706,1,178.95000000000002
4489,1,156.51
4447,1,393.74
4534,2,1506.12
4721,1,119.3
4405,5,1717.36
4406,1,408.8
4398,7,2379.49
4390,15,2601.56
4440,2,721.94
4387,2,716.57
4420,1,615.14
4449,1,128.63
4429,1,255.89999999999998
4737,1,290.51
4555,1,113.12
4441,9,2332.15
4432,1,240.55
4405,2,486.69
4426,5,2306.52
4412,3,939.78
4387,18,7943.22
4408,15,4668.3
4584,1,178.39
4433,6,3672.86
4393,3,641.94
4385,12,4799.9
4450,7,4507.01
4447,1,496.44
4433,12,5049.95
4673,1,574.02
4443,8,694.4
4447,3,1174.35
4478,1,205.3
4657,1,310.46999999999997
4383,91,60705.74
4458,4,924.85
4493,1,52.0
4582,1,327.97
4447,2,570.5
4709,1,165.0
4386,1,312.62
4666,1,204.5
4427,1,267.13
4453,3,2748.31
4468,1,679.68
4486,1,169.99
4716,1,311.71
4435,1,208.75
4422,3,1049.7
4415,2,714.96
4591,1,1028.56
4539,3,356.97
4436,1,173.97
4449,2,600.17
4463,1,2020.52
4512,1,406.09
4470,1,364.5
4383,3,563.94
4428,1,393.54
4715,1,252.42000000000002
4749,1,201.60000000000002
4455,1,158.04
4541,2,467.31
4756,1,115.65
4395,7,2014.26
4637,2,773.87
4412,2,277.05
4414,10,2802.92
4387,22,8347.2
4422,1,427.93
4744,1,418.92
4755,1,326.0
4478,2,913.19
4408,7,2314.32
4458,2,602.51
4440,4,1877.59
4404,1,446.94000000000005
4423,7,2735.85
4520,1,2007.4
4391,12,2493.76
4511,1,168.0
4423,3,1245.16
4552,7,3703.29
4391,5,1690.2600000000002
4596,2,596.85
4397,6,5955.71
4552,2,642.41
4423,1,316.88
4569,1,394.14
4555,1,500.0
4387,4,1535.53
4399,2,231.86
4392,4,2183.54
4708,1,107.45
4495,1,288.18
4672,1,94.0
4399,2,1345.53
4384,3,815.77
4475,5,716.2
4531,2,626.77
4572,1,349.1
4414,2,522.51
4416,4,1056.34
4647,1,267.18
4467,8,3450.84
4409,4,1358.68
4554,1,190.53
4392,3,774.9000000000001
4696,1,574.73
4447,4,3984.32
4468,1,508.8
4407,1,135.85999999999999
4441,4,950.36
4706,2,97.7
4421,1,43.5
4637,2,383.34000000000003
4402,5,1523.44
4416,3,1531.93
4398,1,93.78
4409,2,415.2
4406,1,171.19
4596,2,533.3
4391,5,1041.48
4405,1,149.29
4395,3,1191.69
4645,1,202.11
4514,1,156.58
4437,3,393.3
4631,1,594.0
4384,7,3563.94
4392,2,1425.66
4647,1,113.5
4713,1,155.17
4695,1,494.64
4409,3,974.52
4413,1,429.84
4412,3,571.08
4384,7,1480.92
4745,1,211.6
4666,3,434.59000000000003
4645,1,249.67
4408,1,161.64
4737,1,244.96
4477,3,234.6
4412,1,126.14
4721,1,1044.65
4402,18,7354.62
4468,1,338.78
4392,3,532.68
4434,2,467.51
4433,2,538.55
4385,1,513.3
4496,1,371.56
4397,7,1771.2
4460,1,454.11
4423,2,1399.92
4398,12,10879.76
4544,4,235.3
4384,4,3590.41
4413,3,2564.5
4475,1,91.32000000000001
4405,3,1134.28
4478,6,3100.09
4411,2,659.4599999999999
4415,5,2203.02
4404,2,1298.43
4400,2,1262.2
4385,27,13316.4
4391,4,1131.56
4398,12,10994.93
4745,1,141.04
4464,1,52.83
4435,5,3610.96
4405,3,1045.2
4554,1,555.96
4572,6,1000.27
4713,1,250.0
4394,5,938.13
4538,2,121.0
4416,19,14758.220000000001
4395,11,4272.42
4427,3,62.43
4616,1,267.03
4447,8,1969.85
4384,1,343.5
4423,8,3000.2
4415,2,439.99
4467,1,412.01000000000005
4407,1,440.0
4385,3,820.14
4416,2,148.44
4401,8,2557.23
4637,1,229.33
4405,11,3994.6
4404,4,1551.3600000000001
4391,2,1996.28
4408,4,1606.01
4402,3,807.5699999999999
4556,4,514.15
4546,1,110.92
4390,1,538.46
4394,1,213.3
4497,1,85.13000000000001
4671,1,138.06
4392,9,3546.71
4437,2,288.97
4390,14,5049.93
4460,3,1812.66
4387,4,575.63
4419,1,436.06
4600,1,90.12
4443,1,477.23
4660,1,217.2
4395,16,4833.51
4407,1,279.77
4411,1,568.6800000000001
4394,4,800.59
4734,1,134.55
4405,4,1400.44
4433,2,173.16
4401,1,186.01
4385,3,758.29
4486,5,1375.71
4390,12,4335.97
4394,4,681.4200000000001
4387,7,2666.95
4414,2,672.5
4560,4,740.09
4420,1,921.37
4534,3,258.88
4545,1,127.1
4451,2,360.8
4503,13,3681.7200000000003
4407,3,682.9100000000001
4406,4,720.86
4559,1,455.3
4433,4,913.6800000000001
4638,3,478.53000000000003
4429,1,388.58
4453,1,199.8
4398,5,1771.78
4483,5,1406.59
4418,1,324.57
4436,1,240.68
4409,2,761.74
4394,14,6776.56
4391,9,1297.87
4461,1,48.480000000000004
4435,1,216.39
4419,5,1198.23
4444,9,2920.16
4719,1,104.76
4411,4,1093.68
4567,1,298.48
4434,1,112.46000000000001
4392,13,1591.45
4419,2,195.15
4393,23,10399.74
4415,4,776.851
4393,1,336.40000000000003
4439,3,1553.18
4387,4,1529.9099999999999
4426,9,3709.56
4524,1,301.03
4499,4,588.13
4486,4,1534.26
4457,2,675.8
4387,9,2870.2400000000002
4428,2,1186.35
4398,8,3285.31
4400,1,243.55
4472,2,724.76
4435,1,223.36
4517,1,425.32
4387,15,12509.5
4488,4,1887.2
4574,3,664.0
4549,4,832.55
4401,1,634.96
4540,3,447.64000000000004
4587,2,639.5
4719,2,816.0
4419,3,646.3
4474,1,337.74
4475,2,877.4399999999999
4392,2,922.53
4626,1,560.6700000000001
4428,4,748.5
4405,1,30.0
4573,5,1024.1000000000001
4426,1,306.45
4408,9,1600.86
4700,2,309.8
4489,1,138.14
4433,1,386.43
4551,2,2222.21
4422,1,301.32
4600,1,76.32000000000001
4423,4,684.34
4679,1,173.05
4401,7,2657.13
4471,4,3831.0699999999997
4456,5,2446.6
4464,3,323.69
4401,3,3435.76
4432,1,657.23
4435,1,352.70000000000005
4407,4,781.28
4392,3,1333.68
4408,5,1426.16
4500,1,193.75
4391,9,2993.1
4502,2,254.1
4387,2,239.76
4635,1,136.8
4411,1,191.04
4383,14,6479.4
4649,2,409.98
4416,8,2787.4700000000003
4400,1,309.65
4555,2,712.93
4385,4,1573.53
4647,1,211.5
4523,4,2325.12
4584,1,143.1
4446,4,1060.56
4418,4,976.67
4423,7,3360.77
4666,1,133.25
4392,5,1072.3600000000001
4526,2,356.7
4394,2,330.03
4528,4,1147.52
4617,1,150.3
4415,13,5057.27
4407,1,598.73
4394,1,500.27000000000004
4418,5,2260.16
4747,1,193.25
4584,2,218.25
4398,1,415.25
4399,7,5289.76
4595,1,85.0
4448,3,1120.88
4595,2,294.12
4665,1,162.3
4497,2,1339.45
4397,8,1188.1200000000001
4401,16,4862.42
4449,1,449.12
4432,1,154.88
4399,4,786.49
4460,1,34.8
4402,4,1094.5900000000001
4517,1,196.88
4395,3,973.18
4423,1,163.11
4618,3,44534.3
4385,8,2477.2
4422,7,2699.29
4687,1,79.2
4434,3,458.57
4393,6,2364.25
4444,4,529.18
4448,2,714.42
4407,1,205.25
4601,3,253.04
4448,2,583.75
4414,2,1086.92
4471,6,3279.97
4447,1,315.06
4498,3,621.83
4390,26,56252.72
4388,1,635.6800000000001
4451,1,270.8
4628,1,104.9
4516,1,241.62
4624,4,1047.11
4566,3,475.28000000000003
4408,3,345.46
4392,3,2614.7400000000002
4393,1,246.3
4415,5,2328.97
4429,3,4919.0
4409,3,960.18
4741,1,351.3
4393,1,218.75
4426,2,1612.69
4397,3,965.61
4532,1,610.01
4384,8,2717.11
4496,4,2207.4
4458,3,907.96
4490,2,696.89
4429,3,1063.95
4525,1,451.42
4434,1,415.82000000000005
4383,13,4206.39
4406,17,5488.18
4429,3,784.58
4433,3,903.9
4689,4,3694.87
4419,5,515.77
4461,4,1391.98
4405,6,2218.62
4490,5,1801.14
4590,2,1303.9099999999999
4399,4,1945.33
4446,5,2100.6
4432,4,1905.45
4702,1,206.98
4427,2,570.96
4386,2,885.47
4755,1,15.0
4555,1,532.9399999999999
4439,3,1654.31
4456,14,1836.0900000000001
4482,2,636.14
4420,1,576.0
4441,3,808.68
4637,1,836.79
4453,4,2348.36
4427,4,954.09
4433,1,137.37
4447,1,391.98
4394,19,33643.08
4416,3,1048.49
4441,2,355.56
4455,4,1224.06
4686,1,118.95000000000002
4429,1,130.74
4400,8,3711.77
4421,2,389.27
4402,2,246.72
4569,2,160.71
4434,1,126.1
4387,12,2969.12
4519,5,721.09
4387,27,16457.3
4401,1,297.0
4398,5,1496.92
4423,8,975.11
4395,8,3171.63
4391,4,832.88
4408,2,68.84
4405,6,1936.3200000000002
4423,3,895.13
4484,1,211.89000000000001
4388,15,3810.14
4660,2,171.74
4415,1,437.29
4397,2,377.57
4446,7,4439.75
4384,2,493.18
4752,1,333.98
4695,5,501.39000000000004
4581,4,516.36
4385,2,396.48
4475,3,379.35
4443,1,181.09
4463,1,172.0
4539,2,432.67
4609,1,511.68
4636,2,291.4
4532,1,179.17
4577,2,228.39000000000001
4384,5,1441.88
4751,1,56.25
4406,1,368.64
4399,3,360.81
4392,7,5126.76
4391,1,164.68
4402,7,1603.94
4386,3,1199.3
4556,1,191.94
4383,8,1297.14
4561,2,264.62
4399,8,1529.1100000000001
4630,1,123.1
4573,2,343.08
4402,2,631.87
4537,4,167.5
4555,1,323.03000000000003
4756,1,369.5
4755,1,127.08
4577,1,207.15
4450,1,426.63000000000005
4387,8,2495.87
4404,3,1107.46
4622,2,416.86
4447,1,145.35
4495,5,404.58
4472,15,6115.01
4694,1,35.8
4516,1,337.44
4659,1,325.09999999999997
4748,1,181.0
4465,1,1708.24
4391,2,955.24
4399,2,364.72
4414,4,1785.96
4391,2,708.22
4416,4,781.9100000000001
4398,8,1657.28
4407,14,4416.26
4414,1,453.85
4457,1,104.35
4402,2,470.76
4400,4,894.09
4406,2,430.35
4385,3,666.1
4686,1,314.1
4400,12,4199.85
4749,1,307.82
4422,7,3442.15
4467,1,371.01
4548,2,427.64
4400,2,1129.73
4460,1,1098.78
4471,3,2398.86
4407,8,3408.48
4405,4,1583.08
4385,10,3022.91
4506,2,1142.42
4413,1,168.12
4395,7,1477.52
4402,1,156.78
4427,2,792.11
4386,1,41.989999999999995
4391,7,2872.66
4437,1,443.97
4471,6,1047.58
4419,5,3135.32
4385,3,12393.7
4412,5,2735.37
4395,4,598.78
4594,1,101.4
4430,4,1743.29
4406,3,478.78
4405,4,996.61
4628,3,421.79
4391,16,3367.96
4418,3,1519.89
4386,47,39275.6
4420,3,651.9
4386,3,731.65
4386,8,1574.46
4430,1,273.48
4422,2,408.9
4429,9,3786.2400000000002
4399,3,851.01
4643,1,629.28
4429,3,719.81
4395,1,259.4
4412,1,439.65999999999997
4426,1,253.34
4474,6,934.62
4421,63,81308.76
4692,1,377.74
4475,2,561.7
4388,20,8895.04
4579,3,437.7
4470,2,758.92
4652,3,855.02
4390,3,471.78000000000003
4448,3,1313.55
4413,3,3166.4
4405,5,1177.47
4420,4,773.99
4502,4,1340.7
4756,2,256.44
4423,3,1258.48
4556,1,137.9
4437,1,362.06
4415,2,1553.2
4528,1,783.9
4603,1,134.8
4428,1,650.75
4399,7,2263.12
4448,6,1476.8600000000001
4392,4,1153.62
4643,1,335.32
4748,1,371.34
4399,5,1526.84
4405,2,852.15
4427,1,326.24
4671,1,584.3199999999999
4680,1,122.39999999999999
4386,10,2295.93
4666,1,79.2
4399,3,1352.0
4464,2,217.16
4439,5,2818.62
4483,2,1317.62
4682,1,436.18
4406,5,985.26
4442,5,1121.39
4537,2,315.06
4497,3,817.86
4489,1,17.0
4394,4,1078.23
4647,1,320.62
4623,1,185.04999999999998
4470,7,2073.13
4433,3,731.9
4453,1,1290.7
4425,3,1842.14
4390,6,1429.64
4444,1,298.21
4631,1,336.96
4448,1,108.38
4400,7,3204.1600000000003
4467,1,842.5
4601,2,611.88
4428,3,1392.47
4526,4,195.74
4566,1,161.38
4553,1,135.75000000000003
4392,8,1672.1
4594,1,612.78
4572,1,232.21
4391,2,423.36
4442,4,1427.94
4440,2,1046.06
4456,4,684.4200000000001
4434,1,307.78
4700,1,249.0
4750,1,289.35
4412,4,6287.77
4422,1,656.25
4400,5,1880.22
4434,6,3506.54
4386,33,14589.04
4404,2,618.09
4645,1,517.55
4442,3,709.38
4401,3,635.41
4448,2,725.1800000000001
4471,1,620.4
4632,1,535.34
4386,6,2424.94
4629,1,175.2
4391,11,3799.4900000000002
4540,3,734.13
4516,1,375.0
4679,1,76.32000000000001
4387,2,280.52
4425,5,2053.02
4651,1,1829.04
4432,5,1824.23
4391,9,3166.29
4398,3,656.69
4664,1,348.2
4448,2,1025.44
4384,19,5542.07
4635,1,37.4
4615,2,856.6000000000001
4400,3,910.98
4393,27,3787.6
4391,4,1822.97
4433,6,1885.05
4442,1,73.2
4478,5,1140.21
4398,6,1418.32
4509,3,1009.5500000000001
4477,4,1037.59
4433,1,331.95
4521,1,197.9
4443,1,215.83
4483,8,10254.18
4456,1,305.54
4455,4,6617.65
4450,1,338.71000000000004
4447,6,1158.79
4399,2,529.41
4405,12,4006.94
4414,15,6911.4400000000005
4427,4,981.86
4398,2,215.48
4423,1,215.08
4385,13,5180.52
4619,1,314.45
