Country,Customer ID,R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
United Kingdom,13435.0,4388,7,3869.29,5,5,5,555,Titanium
United Kingdom,13436.0,4384,1,196.89,5,1,1,511,Titanium
United Kingdom,13437.0,4397,7,3408.06,5,5,5,555,Titanium
United Kingdom,13439.0,4638,1,283.71,1,1,2,112,Bronze
United Kingdom,13441.0,4474,1,296.64,2,1,2,212,Silver
United Kingdom,13447.0,4406,3,1129.14,4,3,4,434,Platinum
United Kingdom,13448.0,4399,6,3630.29,4,5,5,455,Platinum
United Kingdom,13449.0,4406,1,291.88,4,1,2,412,Platinum
United Kingdom,13450.0,4409,6,2043.72,4,5,4,454,Platinum
United Kingdom,13451.0,4409,5,2942.27,4,4,5,445,Platinum
United Kingdom,13452.0,4642,2,590.0,1,2,3,123,Bronze
United Kingdom,13453.0,4548,2,356.97999999999996,2,2,2,222,Silver
United Kingdom,13455.0,4407,2,1058.34,4,2,4,424,Platinum
United Kingdom,13456.0,4400,6,1766.72,4,5,4,454,Platinum
United Kingdom,13458.0,4390,14,9646.57,5,5,5,555,Titanium
United Kingdom,13460.0,4412,2,183.44,4,2,1,421,Platinum
United Kingdom,13461.0,4421,3,1445.0,3,3,4,334,Gold
United Kingdom,13462.0,4635,1,151.5,1,1,1,111,Bronze
United Kingdom,13464.0,4441,1,674.68,3,1,3,313,Gold
United Kingdom,13466.0,4567,1,307.9,1,1,2,112,Bronze
United Kingdom,13467.0,4393,2,1222.06,5,2,4,524,Titanium
United Kingdom,13468.0,4384,37,5704.97,5,5,5,555,Titanium
United Kingdom,13470.0,4482,2,165.0,2,2,1,221,Silver
United Kingdom,13471.0,4384,4,2751.65,5,4,5,545,Titanium
United Kingdom,13473.0,4443,2,422.64,3,2,2,322,Gold
United Kingdom,13474.0,4619,1,237.16,1,1,1,111,Bronze
United Kingdom,13475.0,4574,4,1431.78,1,4,4,144,Bronze
United Kingdom,13476.0,4561,2,1238.47,2,2,4,224,Silver
United Kingdom,13477.0,4420,6,1454.58,3,5,4,354,Gold
United Kingdom,13479.0,4583,2,300.95,1,2,2,122,Bronze
United Kingdom,13481.0,4428,5,1804.56,3,4,4,344,Gold
United Kingdom,13482.0,4615,1,184.64,1,1,1,111,Bronze
United Kingdom,13483.0,4448,1,140.34,3,1,1,311,Gold
United Kingdom,13484.0,4624,1,313.8,1,1,2,112,Bronze
United Kingdom,13485.0,4616,1,454.24,1,1,2,112,Bronze
United Kingdom,13486.0,4461,3,1122.41,2,3,4,234,Silver
United Kingdom,13487.0,4440,3,575.4,3,3,3,333,Gold
United Kingdom,13488.0,4400,13,8968.31,4,5,5,455,Platinum
United Kingdom,13489.0,4488,4,449.52,2,4,2,242,Silver
United Kingdom,13491.0,4434,10,1215.82,3,5,4,354,Gold
United Kingdom,13494.0,4694,1,316.26000000000005,1,1,2,112,Bronze
United Kingdom,13495.0,4390,5,2044.8700000000001,5,4,4,544,Titanium
United Kingdom,13496.0,4393,2,653.33,5,2,3,523,Titanium
United Kingdom,13497.0,4665,2,348.05,1,2,2,122,Bronze
United Kingdom,13499.0,4400,5,1159.11,4,4,4,444,Platinum
United Kingdom,13500.0,4406,3,1166.77,4,3,4,434,Platinum
United Kingdom,13502.0,4399,3,292.0,4,3,2,432,Platinum
United Kingdom,13503.0,4454,1,216.85,3,1,1,311,Gold
United Kingdom,13504.0,4447,1,295.93,3,1,2,312,Gold
United Kingdom,13506.0,4699,2,458.52,1,2,2,122,Bronze
United Kingdom,13507.0,4386,4,2479.16,5,4,5,545,Titanium
United Kingdom,13508.0,4626,1,110.97,1,1,1,111,Bronze
United Kingdom,13509.0,4391,7,979.72,5,5,4,554,Titanium
United Kingdom,13510.0,4384,4,1791.56,5,4,4,544,Titanium
United Kingdom,13512.0,4643,1,251.21,1,1,1,111,Bronze
United Kingdom,13513.0,4509,1,205.1,2,1,1,211,Silver
United Kingdom,13514.0,4456,1,152.20000000000002,2,1,1,211,Silver
United Kingdom,13515.0,4455,4,891.12,2,4,3,243,Silver
United Kingdom,13516.0,4404,3,1389.41,4,3,4,434,Platinum
United Kingdom,13517.0,4442,3,2128.42,3,3,5,335,Gold
United Kingdom,13518.0,4468,1,627.16,2,1,3,213,Silver
United Kingdom,13519.0,4461,1,122.75,2,1,1,211,Silver
United Kingdom,13521.0,4384,3,1117.98,5,3,4,534,Titanium
United Kingdom,13522.0,4413,1,125.80000000000001,4,1,1,411,Platinum
United Kingdom,13523.0,4416,5,3964.88,3,4,5,345,Gold
United Kingdom,13524.0,4423,5,680.1800000000001,3,4,3,343,Gold
United Kingdom,13525.0,4397,2,628.78,5,2,3,523,Titanium
United Kingdom,13527.0,4416,7,2337.61,3,5,5,355,Gold
United Kingdom,13529.0,4461,2,307.76,2,2,2,222,Silver
United Kingdom,13531.0,4588,2,483.8,1,2,2,122,Bronze
United Kingdom,13532.0,4416,1,210.31,3,1,1,311,Gold
United Kingdom,13533.0,4565,3,281.01,1,3,2,132,Bronze
United Kingdom,13534.0,4385,25,5870.08,5,5,5,555,Titanium
United Kingdom,13536.0,4384,7,3461.67,5,5,5,555,Titanium
United Kingdom,13538.0,4426,7,1280.85,3,5,4,354,Gold
United Kingdom,13539.0,4468,3,631.34,2,3,3,233,Silver
United Kingdom,13544.0,4422,2,276.06,3,2,2,322,Gold
United Kingdom,13546.0,4395,3,643.59,5,3,3,533,Titanium
United Kingdom,13548.0,4479,2,746.29,2,2,3,223,Silver
United Kingdom,13549.0,4408,7,918.2,4,5,3,453,Platinum
United Kingdom,13551.0,4702,1,91.80000000000001,1,1,1,111,Bronze
United Kingdom,13552.0,4449,12,3802.4700000000003,3,5,5,355,Gold
United Kingdom,13555.0,4456,4,4098.88,2,4,5,245,Silver
United Kingdom,13557.0,4411,2,584.06,4,2,3,423,Platinum
United Kingdom,13558.0,4388,4,600.78,5,4,3,543,Titanium
United Kingdom,13560.0,4390,1,171.42000000000002,5,1,1,511,Titanium
United Kingdom,13561.0,4598,1,141.85999999999999,1,1,1,111,Bronze
United Kingdom,13562.0,4464,3,1799.33,2,3,4,234,Silver
United Kingdom,13563.0,4467,2,777.53,2,2,3,223,Silver
United Kingdom,13564.0,4527,3,1819.02,2,3,4,234,Silver
United Kingdom,13565.0,4402,2,240.22,4,2,1,421,Platinum
United Kingdom,13566.0,4423,2,937.16,3,2,3,323,Gold
United Kingdom,13568.0,4556,1,219.60000000000002,2,1,1,211,Silver
United Kingdom,13569.0,4400,2,347.1,4,2,2,422,Platinum
United Kingdom,13570.0,4626,1,239.49,1,1,1,111,Bronze
United Kingdom,13571.0,4395,12,2141.25,5,5,5,555,Titanium
United Kingdom,13572.0,4588,1,1462.7,1,1,4,114,Bronze
United Kingdom,13573.0,4433,2,290.25,3,2,2,322,Gold
United Kingdom,13575.0,4406,5,732.0699999999999,4,4,3,443,Platinum
United Kingdom,13576.0,4393,18,6717.34,5,5,5,555,Titanium
United Kingdom,13577.0,4408,4,1687.6000000000001,4,4,4,444,Platinum
United Kingdom,13579.0,4397,2,467.04,5,2,2,522,Titanium
United Kingdom,13581.0,4692,1,118.0,1,1,1,111,Bronze
United Kingdom,13583.0,4538,1,781.03,2,1,3,213,Silver
United Kingdom,13584.0,4689,1,142.4,1,1,1,111,Bronze
United Kingdom,13587.0,4446,1,712.4,3,1,3,313,Gold
United Kingdom,13588.0,4398,9,2478.95,4,5,5,455,Platinum
United Kingdom,13589.0,4397,2,379.65,5,2,2,522,Titanium
United Kingdom,13590.0,4394,6,1981.92,5,5,4,554,Titanium
United Kingdom,13591.0,4447,3,1117.13,3,3,4,334,Gold
United Kingdom,13592.0,4418,4,247.95999999999998,3,4,1,341,Gold
United Kingdom,13593.0,4491,5,2011.88,2,4,4,244,Silver
United Kingdom,13594.0,4435,1,396.97,3,1,2,312,Gold
United Kingdom,13596.0,4388,2,697.35,5,2,3,523,Titanium
United Kingdom,13598.0,4430,1,210.74,3,1,1,311,Gold
United Kingdom,13599.0,4384,21,5154.27,5,5,5,555,Titanium
United Kingdom,13600.0,4695,1,219.51999999999998,1,1,1,111,Bronze
United Kingdom,13601.0,4428,2,725.22,3,2,3,323,Gold
United Kingdom,13602.0,4447,1,428.89,3,1,2,312,Gold
United Kingdom,13603.0,4409,1,164.34,4,1,1,411,Platinum
United Kingdom,13606.0,4412,3,276.75,4,3,2,432,Platinum
United Kingdom,13607.0,4423,1,713.97,3,1,3,313,Gold
United Kingdom,13610.0,4395,7,1116.23,5,5,4,554,Titanium
United Kingdom,13611.0,4472,3,1181.4,2,3,4,234,Silver
United Kingdom,13614.0,4407,4,1628.15,4,4,4,444,Platinum
United Kingdom,13615.0,4701,1,417.69,1,1,2,112,Bronze
United Kingdom,13617.0,4423,3,544.18,3,3,3,333,Gold
United Kingdom,13618.0,4556,1,177.34,2,1,1,211,Silver
United Kingdom,13621.0,4499,1,213.85,2,1,1,211,Silver
United Kingdom,13623.0,4413,5,727.74,4,4,3,443,Platinum
United Kingdom,13626.0,4635,1,257.23,1,1,2,112,Bronze
United Kingdom,13627.0,4442,5,1638.47,3,4,4,344,Gold
United Kingdom,13629.0,4406,11,7792.36,4,5,5,455,Platinum
United Kingdom,13630.0,4388,7,2031.78,5,5,4,554,Titanium
United Kingdom,13631.0,4482,11,3070.42,2,5,5,255,Silver
United Kingdom,13632.0,4407,5,2118.93,4,4,5,445,Platinum
United Kingdom,13634.0,4416,5,1572.1100000000001,3,4,4,344,Gold
United Kingdom,13635.0,4450,1,1071.03,3,1,4,314,Gold
United Kingdom,13636.0,4419,5,949.12,3,4,3,343,Gold
United Kingdom,13637.0,4435,3,822.95,3,3,3,333,Gold
United Kingdom,13638.0,4398,1,122.64,4,1,1,411,Platinum
United Kingdom,13639.0,4457,1,1083.1399999999999,2,1,4,214,Silver
United Kingdom,13642.0,4598,1,312.28000000000003,1,1,2,112,Bronze
United Kingdom,13643.0,4414,3,519.44,4,3,3,433,Platinum
United Kingdom,13644.0,4399,4,2624.26,4,4,5,445,Platinum
United Kingdom,13645.0,4503,1,252.1,2,1,1,211,Silver
United Kingdom,13647.0,4392,4,1648.1200000000001,5,4,4,544,Titanium
United Kingdom,13649.0,4639,2,346.6,1,2,2,122,Bronze
United Kingdom,13650.0,4399,6,1836.3400000000001,4,5,4,454,Platinum
United Kingdom,13651.0,4418,2,94.19999999999999,3,2,1,321,Gold
United Kingdom,13652.0,4428,3,1095.08,3,3,4,334,Gold
United Kingdom,13654.0,4426,6,2707.33,3,5,5,355,Gold
United Kingdom,13655.0,4497,2,932.97,2,2,3,223,Silver
United Kingdom,13656.0,4547,2,379.65,2,2,2,222,Silver
United Kingdom,13657.0,4393,2,382.14,5,2,2,522,Titanium
United Kingdom,13658.0,4392,5,2639.17,5,4,5,545,Titanium
United Kingdom,13659.0,4588,2,1647.55,1,2,4,124,Bronze
United Kingdom,13662.0,4468,3,881.26,2,3,3,233,Silver
United Kingdom,13663.0,4562,1,189.47,2,1,1,211,Silver
United Kingdom,13666.0,4443,3,84.65,3,3,1,331,Gold
United Kingdom,13667.0,4532,1,302.17,2,1,2,212,Silver
United Kingdom,13668.0,4385,21,6340.28,5,5,5,555,Titanium
United Kingdom,13669.0,4433,2,218.55,3,2,1,321,Gold
United Kingdom,13670.0,4458,1,349.7,2,1,2,212,Silver
United Kingdom,13672.0,4684,2,186.39000000000001,1,2,1,121,Bronze
United Kingdom,13673.0,4401,2,410.0,4,2,2,422,Platinum
United Kingdom,13675.0,4534,2,486.82,2,2,2,222,Silver
United Kingdom,13678.0,4534,1,232.6,2,1,1,211,Silver
United Kingdom,13680.0,4384,4,3743.77,5,4,5,545,Titanium
United Kingdom,13681.0,4400,4,827.83,4,4,3,443,Platinum
United Kingdom,13682.0,4570,1,59.5,1,1,1,111,Bronze
United Kingdom,13684.0,4668,1,65.13,1,1,1,111,Bronze
United Kingdom,13685.0,4385,7,3119.44,5,5,5,555,Titanium
United Kingdom,13686.0,4565,1,72.0,1,1,1,111,Bronze
United Kingdom,13689.0,4446,1,910.0,3,1,3,313,Gold
United Kingdom,13690.0,4442,1,172.25,3,1,1,311,Gold
United Kingdom,13692.0,4407,3,1488.32,4,3,4,434,Platinum
United Kingdom,13694.0,4386,50,65039.62,5,5,5,555,Titanium
United Kingdom,13695.0,4414,15,2504.13,4,5,5,455,Platinum
United Kingdom,13697.0,4421,1,151.29999999999998,3,1,1,311,Gold
United Kingdom,13699.0,4538,1,308.58000000000004,2,1,2,212,Silver
United Kingdom,13700.0,4409,10,2248.63,4,5,5,455,Platinum
United Kingdom,13703.0,4701,1,99.5,1,1,1,111,Bronze
United Kingdom,13704.0,4388,9,2308.06,5,5,5,555,Titanium
United Kingdom,13705.0,4390,3,711.86,5,3,3,533,Titanium
United Kingdom,13706.0,4685,1,330.79,1,1,2,112,Bronze
United Kingdom,13707.0,4650,2,806.41,1,2,3,123,Bronze
United Kingdom,13708.0,4654,1,285.33,1,1,2,112,Bronze
United Kingdom,13709.0,4386,13,6307.650000000001,5,5,5,555,Titanium
United Kingdom,13710.0,4414,1,180.48,4,1,1,411,Platinum
United Kingdom,13711.0,4601,2,252.06,1,2,1,121,Bronze
United Kingdom,13712.0,4629,1,228.84,1,1,1,111,Bronze
United Kingdom,13715.0,4664,5,1083.99,1,4,4,144,Bronze
United Kingdom,13716.0,4652,1,138.28,1,1,1,111,Bronze
United Kingdom,13717.0,4415,6,1445.01,4,5,4,454,Platinum
United Kingdom,13718.0,4629,2,306.55,1,2,2,122,Bronze
United Kingdom,13719.0,4398,5,1041.68,4,4,4,444,Platinum
United Kingdom,13720.0,4499,4,799.9,2,4,3,243,Silver
United Kingdom,13721.0,4419,1,524.14,3,1,3,313,Gold
United Kingdom,13722.0,4514,3,2375.41,2,3,5,235,Silver
United Kingdom,13723.0,4600,1,199.85000000000002,1,1,1,111,Bronze
United Kingdom,13725.0,4432,8,1980.56,3,5,4,354,Gold
United Kingdom,13726.0,4421,2,1079.6599999999999,3,2,4,324,Gold
United Kingdom,13727.0,4411,2,333.48,4,2,2,422,Platinum
United Kingdom,13728.0,4419,6,1016.14,3,5,4,354,Gold
United Kingdom,13730.0,4518,2,752.6,2,2,3,223,Silver
United Kingdom,13731.0,4602,2,610.59,1,2,3,123,Bronze
United Kingdom,13732.0,4411,1,491.86,4,1,2,412,Platinum
United Kingdom,13735.0,4407,4,2886.86,4,4,5,445,Platinum
United Kingdom,13736.0,4388,2,771.86,5,2,3,523,Titanium
United Kingdom,13737.0,4583,1,344.07,1,1,2,112,Bronze
United Kingdom,13739.0,4401,1,216.9,4,1,1,411,Platinum
United Kingdom,13740.0,4623,1,350.75,1,1,2,112,Bronze
United Kingdom,13741.0,4454,3,668.4300000000001,3,3,3,333,Gold
United Kingdom,13742.0,4399,12,3214.57,4,5,5,455,Platinum
United Kingdom,13743.0,4385,7,1341.6,5,5,4,554,Titanium
United Kingdom,13744.0,4478,2,1080.52,2,2,4,224,Silver
United Kingdom,13745.0,4545,1,300.04,2,1,2,212,Silver
United Kingdom,13747.0,4756,1,79.6,1,1,1,111,Bronze
United Kingdom,13748.0,4478,5,948.25,2,4,3,243,Silver
United Kingdom,13750.0,4436,5,1647.26,3,4,4,344,Gold
United Kingdom,13751.0,4671,1,296.25,1,1,2,112,Bronze
United Kingdom,13752.0,4507,6,1175.38,2,5,4,254,Silver
United Kingdom,13753.0,4670,1,741.26,1,1,3,113,Bronze
United Kingdom,13754.0,4534,2,282.6,2,2,2,222,Silver
United Kingdom,13755.0,4386,9,2251.94,5,5,5,555,Titanium
United Kingdom,13756.0,4385,14,5189.52,5,5,5,555,Titanium
United Kingdom,13758.0,4394,7,3216.05,5,5,5,555,Titanium
United Kingdom,13759.0,4416,2,659.41,3,2,3,323,Gold
United Kingdom,13760.0,4437,2,323.0,3,2,2,322,Gold
United Kingdom,13761.0,4433,2,1070.65,3,2,4,324,Gold
United Kingdom,13762.0,4601,1,306.71999999999997,1,1,2,112,Bronze
United Kingdom,13763.0,4446,1,1714.96,3,1,4,314,Gold
United Kingdom,13764.0,4453,3,1560.1100000000001,3,3,4,334,Gold
United Kingdom,13767.0,4385,37,17220.36,5,5,5,555,Titanium
United Kingdom,13769.0,4385,10,2796.51,5,5,5,555,Titanium
United Kingdom,13771.0,4447,4,2634.45,3,4,5,345,Gold
United Kingdom,13772.0,4416,3,1213.73,3,3,4,334,Gold
United Kingdom,13774.0,4464,1,345.0,2,1,2,212,Silver
United Kingdom,13777.0,4383,33,25977.16,5,5,5,555,Titanium
United Kingdom,13778.0,4486,1,178.7,2,1,1,211,Silver
United Kingdom,13780.0,4390,2,360.01,5,2,2,522,Titanium
United Kingdom,13781.0,4633,1,127.84,1,1,1,111,Bronze
United Kingdom,13782.0,4395,6,908.86,5,5,3,553,Titanium
United Kingdom,13784.0,4392,11,2462.79,5,5,5,555,Titanium
United Kingdom,13786.0,4750,1,230.39999999999998,1,1,1,111,Bronze
United Kingdom,13787.0,4458,2,411.8,2,2,2,222,Silver
United Kingdom,13790.0,4387,1,348.8,5,1,2,512,Titanium
United Kingdom,13791.0,4510,2,1516.0,2,2,4,224,Silver
United Kingdom,13792.0,4449,2,195.55,3,2,1,321,Gold
United Kingdom,13798.0,4384,57,38161.61,5,5,5,555,Titanium
United Kingdom,13799.0,4499,2,688.86,2,2,3,223,Silver
United Kingdom,13800.0,4692,1,558.32,1,1,3,113,Bronze
United Kingdom,13801.0,4449,1,324.8,3,1,2,312,Gold
United Kingdom,13802.0,4521,3,4599.42,2,3,5,235,Silver
United Kingdom,13803.0,4638,1,277.07,1,1,2,112,Bronze
United Kingdom,13804.0,4413,7,2588.39,4,5,5,455,Platinum
United Kingdom,13805.0,4435,2,924.6,3,2,3,323,Gold
United Kingdom,13806.0,4446,1,256.38,3,1,2,312,Gold
United Kingdom,13807.0,4750,1,112.6,1,1,1,111,Bronze
United Kingdom,13808.0,4388,5,1747.66,5,4,4,544,Titanium
United Kingdom,13819.0,4684,3,1140.35,1,3,4,134,Bronze
United Kingdom,13821.0,4527,2,385.64,2,2,2,222,Silver
United Kingdom,13822.0,4388,2,636.95,5,2,3,523,Titanium
United Kingdom,13823.0,4401,2,957.6600000000001,4,2,4,424,Platinum
United Kingdom,13824.0,4415,5,1698.94,4,4,4,444,Platinum
United Kingdom,13826.0,4559,1,189.5,2,1,1,211,Silver
United Kingdom,13827.0,4440,3,409.8,3,3,2,332,Gold
United Kingdom,13828.0,4405,1,209.49,4,1,1,411,Platinum
United Kingdom,13831.0,4399,6,2198.45,4,5,5,455,Platinum
United Kingdom,13832.0,4402,1,52.199999999999996,4,1,1,411,Platinum
United Kingdom,13833.0,4542,1,383.85,2,1,2,212,Silver
United Kingdom,13835.0,4408,4,834.5699999999999,4,4,3,443,Platinum
United Kingdom,13837.0,4594,2,266.59000000000003,1,2,2,122,Bronze
United Kingdom,13838.0,4388,4,718.13,5,4,3,543,Titanium
United Kingdom,13841.0,4635,1,85.0,1,1,1,111,Bronze
United Kingdom,13842.0,4441,9,3385.62,3,5,5,355,Gold
United Kingdom,13844.0,4394,1,361.62,5,1,2,512,Titanium
United Kingdom,13845.0,4447,1,312.98,3,1,2,312,Gold
United Kingdom,13846.0,4407,3,865.0600000000001,4,3,3,433,Platinum
United Kingdom,13848.0,4475,3,1255.0,2,3,4,234,Silver
United Kingdom,13849.0,4434,2,1537.95,3,2,4,324,Gold
United Kingdom,13850.0,4512,1,1595.48,2,1,4,214,Silver
United Kingdom,13851.0,4478,3,2651.46,2,3,5,235,Silver
United Kingdom,13853.0,4440,1,1090.14,3,1,4,314,Gold
United Kingdom,13854.0,4391,25,8109.5199999999995,5,5,5,555,Titanium
United Kingdom,13856.0,4551,3,388.5,2,3,2,232,Silver
United Kingdom,13858.0,4440,1,216.17,3,1,1,311,Gold
United Kingdom,13859.0,4709,1,217.96,1,1,1,111,Bronze
United Kingdom,13860.0,4384,5,1245.9,5,4,4,544,Titanium
United Kingdom,13862.0,4401,8,2209.36,4,5,5,455,Platinum
United Kingdom,13863.0,4630,1,305.78000000000003,1,1,2,112,Bronze
United Kingdom,13865.0,4441,4,501.56,3,4,3,343,Gold
United Kingdom,13866.0,4457,1,145.67000000000002,2,1,1,211,Silver
United Kingdom,13867.0,4414,3,1100.49,4,3,4,434,Platinum
United Kingdom,13868.0,4390,2,3192.54,5,2,5,525,Titanium
United Kingdom,13869.0,4506,4,3109.68,2,4,5,245,Silver
United Kingdom,13870.0,4385,8,2770.94,5,5,5,555,Titanium
United Kingdom,13871.0,4405,13,6403.25,4,5,5,455,Platinum
United Kingdom,13873.0,4502,3,389.6,2,3,2,232,Silver
United Kingdom,13874.0,4741,1,540.45,1,1,3,113,Bronze
United Kingdom,13875.0,4436,5,1786.79,3,4,4,344,Gold
United Kingdom,13876.0,4446,1,122.7,3,1,1,311,Gold
United Kingdom,13877.0,4469,1,117.24,2,1,1,211,Silver
United Kingdom,13878.0,4437,1,1271.57,3,1,4,314,Gold
United Kingdom,13880.0,4404,13,3219.77,4,5,5,455,Platinum
United Kingdom,13881.0,4386,20,17159.52,5,5,5,555,Titanium
United Kingdom,13882.0,4385,5,1191.13,5,4,4,544,Titanium
United Kingdom,13883.0,4393,5,2674.48,5,4,5,545,Titanium
United Kingdom,13884.0,4390,5,791.95,5,4,3,543,Titanium
United Kingdom,13885.0,4572,2,506.8,1,2,3,123,Bronze
United Kingdom,13886.0,4454,1,243.56,3,1,1,311,Gold
United Kingdom,13887.0,4587,1,349.55,1,1,2,112,Bronze
United Kingdom,13888.0,4502,2,595.67,2,2,3,223,Silver
United Kingdom,13889.0,4475,1,416.90000000000003,2,1,2,212,Silver
United Kingdom,13890.0,4384,10,1883.8100000000002,5,5,4,554,Titanium
United Kingdom,13892.0,4409,4,632.97,4,4,3,443,Platinum
United Kingdom,13893.0,4680,1,821.1,1,1,3,113,Bronze
United Kingdom,13894.0,4406,3,692.78,4,3,3,433,Platinum
United Kingdom,13895.0,4411,4,2593.07,4,4,5,445,Platinum
United Kingdom,13897.0,4433,1,311.16,3,1,2,312,Gold
United Kingdom,13898.0,4708,1,155.93,1,1,1,111,Bronze
United Kingdom,13899.0,4399,2,388.52,4,2,2,422,Platinum
United Kingdom,13900.0,4566,3,740.95,1,3,3,133,Bronze
United Kingdom,13901.0,4455,5,2867.2000000000003,2,4,5,245,Silver
United Kingdom,13904.0,4420,2,332.64,3,2,2,322,Gold
United Kingdom,13908.0,4462,4,2369.55,2,4,5,245,Silver
United Kingdom,13911.0,4440,9,2580.91,3,5,5,355,Gold
United Kingdom,13914.0,4394,2,626.45,5,3,3,533,Titanium
United Kingdom,13917.0,4432,2,272.04,3,3,2,332,Gold
United Kingdom,13918.0,4432,2,1212.8400000000001,3,3,4,334,Gold
United Kingdom,13922.0,4734,1,172.25,1,1,1,111,Bronze
United Kingdom,13923.0,4436,1,351.13,3,1,2,312,Gold
United Kingdom,13924.0,4384,6,1838.8500000000001,5,5,4,554,Titanium
United Kingdom,13925.0,4475,4,678.25,2,4,3,243,Silver
United Kingdom,13926.0,4406,1,223.85000000000002,4,1,1,411,Platinum
United Kingdom,13927.0,4457,1,348.99,2,1,2,212,Silver
United Kingdom,13928.0,4393,4,464.57,5,4,2,542,Titanium
United Kingdom,13929.0,4552,2,842.65,2,3,3,233,Silver
United Kingdom,13930.0,4440,2,337.34,3,3,2,332,Gold
United Kingdom,13931.0,4478,2,1237.53,2,3,4,234,Silver
United Kingdom,13932.0,4677,1,307.4,1,1,2,112,Bronze
United Kingdom,13933.0,4492,2,608.7900000000001,2,3,3,233,Silver
United Kingdom,13934.0,4646,1,922.1,1,1,3,113,Bronze
United Kingdom,13936.0,4562,1,376.58,2,1,2,212,Silver
United Kingdom,13937.0,4552,1,158.85,2,1,1,211,Silver
United Kingdom,13938.0,4418,1,71.66,3,1,1,311,Gold
United Kingdom,13939.0,4406,3,568.55,4,3,3,433,Platinum
United Kingdom,13940.0,4400,4,839.14,4,4,3,443,Platinum
United Kingdom,13941.0,4404,5,5112.96,4,4,5,445,Platinum
United Kingdom,13946.0,4462,3,561.5699999999999,2,3,3,233,Silver
United Kingdom,13947.0,4448,1,90.6,3,1,1,311,Gold
United Kingdom,13948.0,4743,1,102.0,1,1,1,111,Bronze
United Kingdom,13949.0,4385,6,2427.32,5,5,5,555,Titanium
United Kingdom,13950.0,4394,4,745.06,5,4,3,543,Titanium
United Kingdom,13951.0,4559,3,674.45,2,3,3,233,Silver
United Kingdom,13952.0,4600,2,3251.071,1,3,5,135,Bronze
United Kingdom,13953.0,4390,7,3515.68,5,5,5,555,Titanium
United Kingdom,13954.0,4384,2,439.92,5,3,2,532,Titanium
United Kingdom,13955.0,4537,2,322.96,2,3,2,232,Silver
United Kingdom,13956.0,4388,5,1095.37,5,4,4,544,Titanium
United Kingdom,13959.0,4462,3,624.34,2,3,3,233,Silver
United Kingdom,13960.0,4404,2,230.22,4,3,1,431,Platinum
United Kingdom,13962.0,4404,2,169.54999999999998,4,3,1,431,Platinum
United Kingdom,13963.0,4691,4,664.54,1,4,3,143,Bronze
United Kingdom,13967.0,4528,1,80.7,2,1,1,211,Silver
United Kingdom,13969.0,4390,18,9102.17,5,5,5,555,Titanium
United Kingdom,13971.0,4401,8,2758.26,4,5,5,455,Platinum
United Kingdom,13972.0,4453,2,190.25,3,3,1,331,Gold
United Kingdom,13973.0,4670,1,264.7,1,1,2,112,Bronze
United Kingdom,13974.0,4432,1,413.59000000000003,3,1,2,312,Gold
United Kingdom,13975.0,4414,6,2600.29,4,5,5,455,Platinum
United Kingdom,13976.0,4589,1,357.98,1,1,2,112,Bronze
United Kingdom,13978.0,4397,2,196.79000000000002,5,3,1,531,Titanium
United Kingdom,13979.0,4456,1,869.87,2,1,3,213,Silver
United Kingdom,13980.0,4443,1,200.14,3,1,1,311,Gold
United Kingdom,13982.0,4422,4,1886.96,3,4,4,344,Gold
United Kingdom,13983.0,4412,12,2621.13,4,5,5,455,Platinum
United Kingdom,13984.0,4409,5,920.51,4,4,3,443,Platinum
United Kingdom,13985.0,4387,15,7060.13,5,5,5,555,Titanium
United Kingdom,13986.0,4400,1,427.98,4,1,2,412,Platinum
United Kingdom,13988.0,4402,6,4147.96,4,5,5,455,Platinum
United Kingdom,13989.0,4448,2,1266.08,3,3,4,334,Gold
United Kingdom,13990.0,4596,1,311.3,1,1,2,112,Bronze
United Kingdom,13991.0,4395,6,864.11,5,5,3,553,Titanium
United Kingdom,13992.0,4413,1,76.8,4,1,1,411,Platinum
United Kingdom,13993.0,4425,9,3466.36,3,5,5,355,Gold
United Kingdom,13994.0,4386,6,2321.4900000000002,5,5,5,555,Titanium
United Kingdom,13995.0,4398,5,1393.69,4,4,4,444,Platinum
United Kingdom,13999.0,4393,12,3901.81,5,5,5,555,Titanium
United Kingdom,14000.0,4594,1,635.66,1,1,3,113,Bronze
United Kingdom,14001.0,4428,3,2043.08,3,3,4,334,Gold
United Kingdom,14002.0,4517,2,529.73,2,3,3,233,Silver
United Kingdom,14004.0,4426,7,4582.64,3,5,5,355,Gold
United Kingdom,14005.0,4392,5,2874.72,5,4,5,545,Titanium
United Kingdom,14006.0,4498,3,962.19,2,3,4,234,Silver
United Kingdom,14009.0,4581,2,695.61,1,3,3,133,Bronze
United Kingdom,14012.0,4660,1,328.8,1,1,2,112,Bronze
United Kingdom,14013.0,4493,3,473.02,2,3,2,232,Silver
United Kingdom,14014.0,4460,1,505.18,2,1,3,213,Silver
United Kingdom,14015.0,4435,1,917.34,3,1,3,313,Gold
United Kingdom,14019.0,4429,3,1421.61,3,3,4,334,Gold
United Kingdom,14020.0,4399,2,642.8,4,3,3,433,Platinum
United Kingdom,14021.0,4538,3,631.9,2,3,3,233,Silver
United Kingdom,14022.0,4608,1,440.0,1,1,2,112,Bronze
