R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
4384,28,28882.44,5,5,5,555,Titanium
4482,1,207.35999999999999,2,1,1,211,Silver
4617,1,101.19,1,1,1,111,Bronze
4384,24,6424.09,5,5,5,555,Titanium
4422,1,243.94,3,1,1,311,Gold
4386,6,1098.48,5,5,4,554,Titanium
4516,1,76.5,2,1,1,211,Silver
4427,4,1531.62,3,4,4,344,Gold
4755,1,350.06,1,1,2,112,Bronze
4442,2,786.54,3,2,3,323,Gold
4414,7,1494.47,4,5,4,454,Platinum
4383,24,12245.960000000001,5,5,5,555,Titanium
4394,4,2294.78,5,4,5,545,Titanium
4521,1,501.14,2,1,3,213,Silver
4404,8,984.91,4,5,4,454,Platinum
4402,5,1197.81,4,4,4,444,Platinum
4621,1,30.599999999999998,1,1,1,111,Bronze
4652,1,283.73,1,1,2,112,Bronze
4477,2,922.39,2,2,3,223,Silver
4472,3,3875.18,2,3,5,235,Silver
4387,8,2099.64,5,5,5,555,Titanium
4460,1,259.17,2,1,2,212,Silver
4477,1,64.0,2,1,1,211,Silver
4406,3,1073.3,4,3,4,434,Platinum
4644,1,77.3,1,1,1,111,Bronze
4656,2,109.8,1,2,1,121,Bronze
4468,4,1793.58,2,4,4,244,Silver
4579,1,3096.0,1,1,5,115,Bronze
4439,5,2607.61,3,4,5,345,Gold
4393,8,3976.12,5,5,5,555,Titanium
4405,6,962.39,4,5,4,454,Platinum
4399,7,5064.9400000000005,4,5,5,455,Platinum
4491,3,422.47,2,3,2,232,Silver
4467,5,2388.75,2,4,5,245,Silver
4402,1,307.09,4,1,2,412,Platinum
4715,1,110.95,1,1,1,111,Bronze
4422,4,618.52,3,4,3,343,Gold
4409,1,238.66,4,1,1,411,Platinum
4393,4,712.8000000000001,5,4,3,543,Titanium
4412,12,3773.4,4,5,5,455,Platinum
4397,4,1676.06,5,4,4,544,Titanium
4678,1,1271.82,1,1,4,114,Bronze
4388,1,486.22,5,1,2,512,Titanium
4416,4,980.61,3,4,4,344,Gold
4432,4,1741.22,3,4,4,344,Gold
4477,4,1201.06,2,4,4,244,Silver
4391,4,1433.1,5,4,4,544,Titanium
4405,1,91.8,4,1,1,411,Platinum
4696,1,112.75,1,1,1,111,Bronze
4505,4,1688.29,2,4,4,244,Silver
4429,2,1021.48,3,2,4,324,Gold
4666,1,448.65,1,1,2,112,Bronze
4401,4,791.3299999999999,4,4,3,443,Platinum
4419,4,1310.96,3,4,4,344,Gold
4446,2,712.88,3,2,3,323,Gold
4409,1,110.75999999999999,4,1,1,411,Platinum
4404,3,468.40999999999997,4,3,2,432,Platinum
4387,2,353.65,5,2,2,522,Titanium
4399,3,3087.4700000000003,4,3,5,435,Platinum
4429,1,483.98,3,1,2,312,Gold
4447,1,282.45,3,1,2,312,Gold
4409,11,5725.47,4,5,5,455,Platinum
4428,1,121.17999999999999,3,1,1,311,Gold
4390,9,3957.78,5,5,5,555,Titanium
4397,10,1672.43,5,5,4,554,Titanium
4650,1,71.4,1,1,1,111,Bronze
4422,3,1575.89,3,3,4,334,Gold
4720,1,236.02,1,1,1,111,Bronze
4394,1,114.60000000000001,5,1,1,511,Titanium
4401,2,260.68,4,2,2,422,Platinum
4478,2,911.94,2,2,3,223,Silver
4444,1,126.03,3,1,1,311,Gold
4518,1,60.7,2,1,1,211,Silver
4394,4,1797.78,5,4,4,544,Titanium
4393,6,3401.2400000000002,5,5,5,555,Titanium
4386,38,9817.12,5,5,5,555,Titanium
4402,4,870.09,4,4,3,443,Platinum
4392,4,869.46,5,4,3,543,Titanium
4398,2,250.26000000000002,4,2,1,421,Platinum
4441,6,1248.88,3,5,4,354,Gold
4413,8,5932.41,4,5,5,455,Platinum
4476,1,353.48,2,1,2,212,Silver
4393,3,1107.77,5,3,4,534,Titanium
4402,3,795.08,4,3,3,433,Platinum
4439,5,1520.58,3,4,4,344,Gold
4650,1,333.74,1,1,2,112,Bronze
4505,3,533.98,2,3,3,233,Silver
4510,1,62.64,2,1,1,211,Silver
4461,4,819.29,2,4,3,243,Silver
4623,2,847.41,1,2,3,123,Bronze
4583,2,163.20000000000002,1,2,1,121,Bronze
4443,2,2155.95,3,2,5,325,Gold
4386,7,6463.84,5,5,5,555,Titanium
4656,1,108.21,1,1,1,111,Bronze
4584,1,257.7,1,1,2,112,Bronze
4464,1,358.0,2,1,2,212,Silver
4608,1,160.95,1,1,1,111,Bronze
4387,14,2835.29,5,5,5,555,Titanium
4395,7,1336.6,5,5,4,554,Titanium
4457,2,605.12,2,2,3,223,Silver
4595,1,1143.92,1,1,4,114,Bronze
4407,2,744.85,4,2,3,423,Platinum
4400,4,700.73,4,4,3,443,Platinum
4644,1,329.56,1,1,2,112,Bronze
4479,4,679.45,2,4,3,243,Silver
4495,3,270.40000000000003,2,3,2,232,Silver
4586,1,593.62,1,1,3,113,Bronze
4475,1,121.74000000000001,2,1,1,211,Silver
4433,1,430.5,3,1,2,312,Gold
4401,6,2174.02,4,5,5,455,Platinum
4400,4,501.12,4,4,3,443,Platinum
4507,2,465.68,2,2,2,222,Silver
4475,3,711.41,2,3,3,233,Silver
4539,2,1030.4,2,2,4,224,Silver
4392,2,399.51,5,2,2,522,Titanium
4394,3,700.63,5,3,3,533,Titanium
4444,1,306.48,3,1,2,312,Gold
4444,1,557.62,3,1,3,313,Gold
4651,2,944.1,1,2,3,123,Bronze
4646,1,200.29,1,1,1,111,Bronze
4384,35,7623.03,5,5,5,555,Titanium
4436,5,2092.66,3,4,5,345,Gold
4394,12,3834.2599999999998,5,5,5,555,Titanium
4385,19,4521.49,5,5,5,555,Titanium
4400,11,3227.57,4,5,5,455,Platinum
4384,15,5348.2300000000005,5,5,5,555,Titanium
4749,1,590.0,1,1,3,113,Bronze
4420,1,254.27,3,1,2,312,Gold
4414,2,276.56,4,2,2,422,Platinum
4496,1,138.98,2,1,1,211,Silver
4446,2,590.9300000000001,3,2,3,323,Gold
4398,4,258.4,4,4,2,442,Platinum
4423,1,542.73,3,1,3,313,Gold
4461,1,137.75,2,1,1,211,Silver
4505,3,812.86,2,3,3,233,Silver
4401,3,1132.14,4,3,4,434,Platinum
4442,2,93.66,3,2,1,321,Gold
4713,1,201.19,1,1,1,111,Bronze
4406,4,2709.12,4,4,5,445,Platinum
4538,1,364.05,2,1,2,212,Silver
4421,2,578.9399999999999,3,2,3,323,Gold
4572,2,873.74,1,2,3,123,Bronze
4742,1,201.20000000000002,1,1,1,111,Bronze
4520,1,87.4,2,1,1,211,Silver
4390,4,2089.85,5,4,5,545,Titanium
4384,1,360.0,5,1,2,512,Titanium
4651,1,142.5,1,1,1,111,Bronze
4552,1,371.89,2,1,2,212,Silver
4486,4,618.09,2,4,3,243,Silver
4538,1,63.75,2,1,1,211,Silver
4734,1,300.42,1,1,2,112,Bronze
4387,10,2000.86,5,5,4,554,Titanium
4503,1,15.0,2,1,1,211,Silver
4405,3,1385.51,4,3,4,434,Platinum
4390,5,1456.79,5,4,4,544,Titanium
4411,3,1132.03,4,3,4,434,Platinum
4387,2,598.57,5,2,3,523,Titanium
4405,5,1555.32,4,4,4,444,Platinum
4384,3,795.74,5,3,3,533,Titanium
4420,4,5732.93,3,4,5,345,Gold
4449,6,2273.68,3,5,5,355,Gold
4384,3,640.76,5,3,3,533,Titanium
4388,26,10845.550000000001,5,5,5,555,Titanium
4461,4,1532.2,2,4,4,244,Silver
4455,2,567.36,2,2,3,223,Silver
4400,1,199.48000000000002,4,1,1,411,Platinum
4386,5,787.85,5,4,3,543,Titanium
4419,10,7121.95,3,5,5,355,Gold
4464,1,675.3,2,1,3,213,Silver
4421,8,3627.77,3,5,5,355,Gold
4699,1,1308.48,1,1,4,114,Bronze
4414,2,789.0,4,2,3,423,Platinum
4475,3,1140.93,2,3,4,234,Silver
4397,1,350.9,5,1,2,512,Titanium
4465,3,3598.92,2,3,5,235,Silver
4460,1,795.12,2,1,3,213,Silver
4540,1,487.02,2,1,2,212,Silver
4583,1,860.12,1,1,3,113,Bronze
4428,7,10736.48,3,5,5,355,Gold
4643,1,775.85,1,1,3,113,Bronze
4560,1,353.43,2,1,2,212,Silver
4450,3,2511.69,3,3,5,335,Gold
4670,1,389.5,1,1,2,112,Bronze
4453,1,341.36,3,1,2,312,Gold
4447,1,233.76,3,1,1,311,Gold
4393,1,247.32,5,1,1,511,Titanium
4399,2,979.12,4,2,4,424,Platinum
4449,1,373.94,3,1,2,312,Gold
4443,1,397.97999999999996,3,1,2,312,Gold
4454,1,743.53,3,1,3,313,Gold
4505,1,674.7,2,1,3,213,Silver
4463,1,768.24,2,1,3,213,Silver
4640,1,651.6,1,1,3,113,Bronze
4651,1,439.03,1,1,2,112,Bronze
4446,1,439.56,3,1,2,312,Gold
4392,4,3090.7400000000002,5,4,5,545,Titanium
4400,2,992.5,4,2,4,424,Platinum
4454,1,134.96,3,1,1,311,Gold
4416,2,2225.37,3,2,5,325,Gold
4433,1,56.160000000000004,3,1,1,311,Gold
4639,2,623.4,1,2,3,123,Bronze
4748,1,308.28000000000003,1,1,2,112,Bronze
4754,1,754.87,1,1,3,113,Bronze
4472,1,378.64,2,1,2,212,Silver
4443,3,3312.25,3,3,5,335,Gold
4471,1,778.65,2,1,3,213,Silver
4482,3,1019.76,2,3,4,234,Silver
4409,3,594.29,4,3,3,433,Platinum
4414,6,3639.31,4,5,5,455,Platinum
4663,1,222.99,1,1,1,111,Bronze
4413,7,4151.93,4,5,5,455,Platinum
4712,1,534.57,1,1,3,113,Bronze
4514,2,677.1,2,2,3,223,Silver
4394,3,797.96,5,3,3,533,Titanium
4457,1,544.08,2,1,3,213,Silver
4586,1,59.8,1,1,1,111,Bronze
4384,8,2520.02,5,5,5,555,Titanium
4568,1,307.71999999999997,1,1,2,112,Bronze
4412,2,1360.99,4,2,4,424,Platinum
4455,5,1544.13,2,4,4,244,Silver
4575,1,457.34,1,1,2,112,Bronze
4510,2,621.23,2,2,3,223,Silver
4400,1,75.0,4,1,1,411,Platinum
4384,2,252.48999999999998,5,2,2,522,Titanium
4457,3,587.452,2,3,3,233,Silver
4384,62,28117.04,5,5,5,555,Titanium
4407,5,1003.0600000000001,4,4,4,444,Platinum
4490,1,219.8,2,1,1,211,Silver
4516,3,1390.5,2,3,4,234,Silver
4426,2,712.5,3,2,3,323,Gold
4387,2,640.83,5,2,3,523,Titanium
4394,18,6127.43,5,5,5,555,Titanium
4446,1,221.06,3,1,1,311,Gold
4532,2,159.85,2,2,1,221,Silver
4423,2,1893.1100000000001,3,2,4,324,Gold
4447,1,2626.3,3,1,5,315,Gold
4491,3,1624.21,2,3,4,234,Silver
4383,10,3641.32,5,5,5,555,Titanium
4402,3,582.6,4,3,3,433,Platinum
4393,1,207.59,5,1,1,511,Titanium
4393,4,1006.8,5,4,4,544,Titanium
4401,2,679.45,4,2,3,423,Platinum
4450,2,1269.1,3,2,4,324,Gold
4457,2,534.24,2,2,3,223,Silver
4388,7,3869.29,5,5,5,555,Titanium
4384,1,196.89,5,1,1,511,Titanium
4397,7,3408.06,5,5,5,555,Titanium
4638,1,283.71,1,1,2,112,Bronze
4474,1,296.64,2,1,2,212,Silver
4406,3,1129.14,4,3,4,434,Platinum
4399,6,3630.29,4,5,5,455,Platinum
4406,1,291.88,4,1,2,412,Platinum
4409,6,2043.72,4,5,4,454,Platinum
4409,5,2942.27,4,4,5,445,Platinum
4642,2,590.0,1,2,3,123,Bronze
4548,2,356.97999999999996,2,2,2,222,Silver
4407,2,1058.34,4,2,4,424,Platinum
4400,6,1766.72,4,5,4,454,Platinum
4390,14,9646.57,5,5,5,555,Titanium
4412,2,183.44,4,2,1,421,Platinum
4421,3,1445.0,3,3,4,334,Gold
4635,1,151.5,1,1,1,111,Bronze
4441,1,674.68,3,1,3,313,Gold
4567,1,307.9,1,1,2,112,Bronze
4393,2,1222.06,5,2,4,524,Titanium
4384,37,5704.97,5,5,5,555,Titanium
4482,2,165.0,2,2,1,221,Silver
4384,4,2751.65,5,4,5,545,Titanium
4443,2,422.64,3,2,2,322,Gold
4619,1,237.16,1,1,1,111,Bronze
4574,4,1431.78,1,4,4,144,Bronze
4561,2,1238.47,2,2,4,224,Silver
4420,6,1454.58,3,5,4,354,Gold
4583,2,300.95,1,2,2,122,Bronze
4428,5,1804.56,3,4,4,344,Gold
4615,1,184.64,1,1,1,111,Bronze
4448,1,140.34,3,1,1,311,Gold
4624,1,313.8,1,1,2,112,Bronze
4616,1,454.24,1,1,2,112,Bronze
4461,3,1122.41,2,3,4,234,Silver
4440,3,575.4,3,3,3,333,Gold
4400,13,8968.31,4,5,5,455,Platinum
4488,4,449.52,2,4,2,242,Silver
4434,10,1215.82,3,5,4,354,Gold
4694,1,316.26000000000005,1,1,2,112,Bronze
4390,5,2044.8700000000001,5,4,4,544,Titanium
4393,2,653.33,5,2,3,523,Titanium
4665,2,348.05,1,2,2,122,Bronze
4400,5,1159.11,4,4,4,444,Platinum
4406,3,1166.77,4,3,4,434,Platinum
4399,3,292.0,4,3,2,432,Platinum
4454,1,216.85,3,1,1,311,Gold
4447,1,295.93,3,1,2,312,Gold
4699,2,458.52,1,2,2,122,Bronze
4386,4,2479.16,5,4,5,545,Titanium
4626,1,110.97,1,1,1,111,Bronze
4391,7,979.72,5,5,4,554,Titanium
4384,4,1791.56,5,4,4,544,Titanium
4643,1,251.21,1,1,1,111,Bronze
4509,1,205.1,2,1,1,211,Silver
4456,1,152.20000000000002,2,1,1,211,Silver
4455,4,891.12,2,4,3,243,Silver
4404,3,1389.41,4,3,4,434,Platinum
4442,3,2128.42,3,3,5,335,Gold
4468,1,627.16,2,1,3,213,Silver
4461,1,122.75,2,1,1,211,Silver
4384,3,1117.98,5,3,4,534,Titanium
4413,1,125.80000000000001,4,1,1,411,Platinum
4416,5,3964.88,3,4,5,345,Gold
4423,5,680.1800000000001,3,4,3,343,Gold
4397,2,628.78,5,2,3,523,Titanium
4416,7,2337.61,3,5,5,355,Gold
4461,2,307.76,2,2,2,222,Silver
4588,2,483.8,1,2,2,122,Bronze
4416,1,210.31,3,1,1,311,Gold
4565,3,281.01,1,3,2,132,Bronze
4385,25,5870.08,5,5,5,555,Titanium
4384,7,3461.67,5,5,5,555,Titanium
4426,7,1280.85,3,5,4,354,Gold
4468,3,631.34,2,3,3,233,Silver
4422,2,276.06,3,2,2,322,Gold
4395,3,643.59,5,3,3,533,Titanium
4479,2,746.29,2,2,3,223,Silver
4408,7,918.2,4,5,3,453,Platinum
4702,1,91.80000000000001,1,1,1,111,Bronze
4449,12,3802.4700000000003,3,5,5,355,Gold
4456,4,4098.88,2,4,5,245,Silver
4411,2,584.06,4,2,3,423,Platinum
4388,4,600.78,5,4,3,543,Titanium
4390,1,171.42000000000002,5,1,1,511,Titanium
4598,1,141.85999999999999,1,1,1,111,Bronze
4464,3,1799.33,2,3,4,234,Silver
4467,2,777.53,2,2,3,223,Silver
4527,3,1819.02,2,3,4,234,Silver
4402,2,240.22,4,2,1,421,Platinum
4423,2,937.16,3,2,3,323,Gold
4556,1,219.60000000000002,2,1,1,211,Silver
4400,2,347.1,4,2,2,422,Platinum
4626,1,239.49,1,1,1,111,Bronze
4395,12,2141.25,5,5,5,555,Titanium
4588,1,1462.7,1,1,4,114,Bronze
4433,2,290.25,3,2,2,322,Gold
4406,5,732.0699999999999,4,4,3,443,Platinum
4393,18,6717.34,5,5,5,555,Titanium
4408,4,1687.6000000000001,4,4,4,444,Platinum
4397,2,467.04,5,2,2,522,Titanium
4692,1,118.0,1,1,1,111,Bronze
4538,1,781.03,2,1,3,213,Silver
4689,1,142.4,1,1,1,111,Bronze
4446,1,712.4,3,1,3,313,Gold
4398,9,2478.95,4,5,5,455,Platinum
4397,2,379.65,5,2,2,522,Titanium
4394,6,1981.92,5,5,4,554,Titanium
4447,3,1117.13,3,3,4,334,Gold
4418,4,247.95999999999998,3,4,1,341,Gold
4491,5,2011.88,2,4,4,244,Silver
4435,1,396.97,3,1,2,312,Gold
4388,2,697.35,5,2,3,523,Titanium
4430,1,210.74,3,1,1,311,Gold
4384,21,5154.27,5,5,5,555,Titanium
4695,1,219.51999999999998,1,1,1,111,Bronze
4428,2,725.22,3,2,3,323,Gold
4447,1,428.89,3,1,2,312,Gold
4409,1,164.34,4,1,1,411,Platinum
4412,3,276.75,4,3,2,432,Platinum
4423,1,713.97,3,1,3,313,Gold
4395,7,1116.23,5,5,4,554,Titanium
4472,3,1181.4,2,3,4,234,Silver
4407,4,1628.15,4,4,4,444,Platinum
4701,1,417.69,1,1,2,112,Bronze
4423,3,544.18,3,3,3,333,Gold
4556,1,177.34,2,1,1,211,Silver
4499,1,213.85,2,1,1,211,Silver
4413,5,727.74,4,4,3,443,Platinum
4635,1,257.23,1,1,2,112,Bronze
4442,5,1638.47,3,4,4,344,Gold
4406,11,7792.36,4,5,5,455,Platinum
4388,7,2031.78,5,5,4,554,Titanium
4482,11,3070.42,2,5,5,255,Silver
4407,5,2118.93,4,4,5,445,Platinum
4416,5,1572.1100000000001,3,4,4,344,Gold
4450,1,1071.03,3,1,4,314,Gold
4419,5,949.12,3,4,3,343,Gold
4435,3,822.95,3,3,3,333,Gold
4398,1,122.64,4,1,1,411,Platinum
4457,1,1083.1399999999999,2,1,4,214,Silver
4598,1,312.28000000000003,1,1,2,112,Bronze
4414,3,519.44,4,3,3,433,Platinum
4399,4,2624.26,4,4,5,445,Platinum
4503,1,252.1,2,1,1,211,Silver
4392,4,1648.1200000000001,5,4,4,544,Titanium
4639,2,346.6,1,2,2,122,Bronze
4399,6,1836.3400000000001,4,5,4,454,Platinum
4418,2,94.19999999999999,3,2,1,321,Gold
4428,3,1095.08,3,3,4,334,Gold
4426,6,2707.33,3,5,5,355,Gold
4497,2,932.97,2,2,3,223,Silver
4547,2,379.65,2,2,2,222,Silver
4393,2,382.14,5,2,2,522,Titanium
4392,5,2639.17,5,4,5,545,Titanium
4588,2,1647.55,1,2,4,124,Bronze
4468,3,881.26,2,3,3,233,Silver
4562,1,189.47,2,1,1,211,Silver
4443,3,84.65,3,3,1,331,Gold
4532,1,302.17,2,1,2,212,Silver
4385,21,6340.28,5,5,5,555,Titanium
4433,2,218.55,3,2,1,321,Gold
4458,1,349.7,2,1,2,212,Silver
4684,2,186.39000000000001,1,2,1,121,Bronze
4401,2,410.0,4,2,2,422,Platinum
4534,2,486.82,2,2,2,222,Silver
4534,1,232.6,2,1,1,211,Silver
4384,4,3743.77,5,4,5,545,Titanium
4400,4,827.83,4,4,3,443,Platinum
4570,1,59.5,1,1,1,111,Bronze
4668,1,65.13,1,1,1,111,Bronze
4385,7,3119.44,5,5,5,555,Titanium
4565,1,72.0,1,1,1,111,Bronze
4446,1,910.0,3,1,3,313,Gold
4442,1,172.25,3,1,1,311,Gold
4407,3,1488.32,4,3,4,434,Platinum
4386,50,65039.62,5,5,5,555,Titanium
4414,15,2504.13,4,5,5,455,Platinum
4421,1,151.29999999999998,3,1,1,311,Gold
4538,1,308.58000000000004,2,1,2,212,Silver
4409,10,2248.63,4,5,5,455,Platinum
4701,1,99.5,1,1,1,111,Bronze
4388,9,2308.06,5,5,5,555,Titanium
4390,3,711.86,5,3,3,533,Titanium
4685,1,330.79,1,1,2,112,Bronze
4650,2,806.41,1,2,3,123,Bronze
4654,1,285.33,1,1,2,112,Bronze
4386,13,6307.650000000001,5,5,5,555,Titanium
4414,1,180.48,4,1,1,411,Platinum
4601,2,252.06,1,2,1,121,Bronze
4629,1,228.84,1,1,1,111,Bronze
4664,5,1083.99,1,4,4,144,Bronze
4652,1,138.28,1,1,1,111,Bronze
4415,6,1445.01,4,5,4,454,Platinum
4629,2,306.55,1,2,2,122,Bronze
4398,5,1041.68,4,4,4,444,Platinum
4499,4,799.9,2,4,3,243,Silver
4419,1,524.14,3,1,3,313,Gold
4514,3,2375.41,2,3,5,235,Silver
4600,1,199.85000000000002,1,1,1,111,Bronze
4432,8,1980.56,3,5,4,354,Gold
4421,2,1079.6599999999999,3,2,4,324,Gold
4411,2,333.48,4,2,2,422,Platinum
4419,6,1016.14,3,5,4,354,Gold
4518,2,752.6,2,2,3,223,Silver
4602,2,610.59,1,2,3,123,Bronze
4411,1,491.86,4,1,2,412,Platinum
4407,4,2886.86,4,4,5,445,Platinum
4388,2,771.86,5,2,3,523,Titanium
4583,1,344.07,1,1,2,112,Bronze
4401,1,216.9,4,1,1,411,Platinum
4623,1,350.75,1,1,2,112,Bronze
4454,3,668.4300000000001,3,3,3,333,Gold
4399,12,3214.57,4,5,5,455,Platinum
4385,7,1341.6,5,5,4,554,Titanium
4478,2,1080.52,2,2,4,224,Silver
4545,1,300.04,2,1,2,212,Silver
4756,1,79.6,1,1,1,111,Bronze
4478,5,948.25,2,4,3,243,Silver
4436,5,1647.26,3,4,4,344,Gold
4671,1,296.25,1,1,2,112,Bronze
4507,6,1175.38,2,5,4,254,Silver
4670,1,741.26,1,1,3,113,Bronze
4534,2,282.6,2,2,2,222,Silver
4386,9,2251.94,5,5,5,555,Titanium
4385,14,5189.52,5,5,5,555,Titanium
4394,7,3216.05,5,5,5,555,Titanium
4416,2,659.41,3,2,3,323,Gold
4437,2,323.0,3,2,2,322,Gold
4433,2,1070.65,3,2,4,324,Gold
4601,1,306.71999999999997,1,1,2,112,Bronze
4446,1,1714.96,3,1,4,314,Gold
4453,3,1560.1100000000001,3,3,4,334,Gold
4385,37,17220.36,5,5,5,555,Titanium
4385,10,2796.51,5,5,5,555,Titanium
4447,4,2634.45,3,4,5,345,Gold
4416,3,1213.73,3,3,4,334,Gold
4464,1,345.0,2,1,2,212,Silver
4383,33,25977.16,5,5,5,555,Titanium
4486,1,178.7,2,1,1,211,Silver
4390,2,360.01,5,2,2,522,Titanium
4633,1,127.84,1,1,1,111,Bronze
4395,6,908.86,5,5,3,553,Titanium
4392,11,2462.79,5,5,5,555,Titanium
4750,1,230.39999999999998,1,1,1,111,Bronze
4458,2,411.8,2,2,2,222,Silver
4387,1,348.8,5,1,2,512,Titanium
4510,2,1516.0,2,2,4,224,Silver
4449,2,195.55,3,2,1,321,Gold
4384,57,38161.61,5,5,5,555,Titanium
4499,2,688.86,2,2,3,223,Silver
4692,1,558.32,1,1,3,113,Bronze
4449,1,324.8,3,1,2,312,Gold
4521,3,4599.42,2,3,5,235,Silver
4638,1,277.07,1,1,2,112,Bronze
4413,7,2588.39,4,5,5,455,Platinum
4435,2,924.6,3,2,3,323,Gold
4446,1,256.38,3,1,2,312,Gold
4750,1,112.6,1,1,1,111,Bronze
4388,5,1747.66,5,4,4,544,Titanium
4684,3,1140.35,1,3,4,134,Bronze
4527,2,385.64,2,2,2,222,Silver
4388,2,636.95,5,2,3,523,Titanium
4401,2,957.6600000000001,4,2,4,424,Platinum
4415,5,1698.94,4,4,4,444,Platinum
4559,1,189.5,2,1,1,211,Silver
4440,3,409.8,3,3,2,332,Gold
4405,1,209.49,4,1,1,411,Platinum
4399,6,2198.45,4,5,5,455,Platinum
4402,1,52.199999999999996,4,1,1,411,Platinum
4542,1,383.85,2,1,2,212,Silver
4408,4,834.5699999999999,4,4,3,443,Platinum
4594,2,266.59000000000003,1,2,2,122,Bronze
4388,4,718.13,5,4,3,543,Titanium
4635,1,85.0,1,1,1,111,Bronze
4441,9,3385.62,3,5,5,355,Gold
4394,1,361.62,5,1,2,512,Titanium
4447,1,312.98,3,1,2,312,Gold
4407,3,865.0600000000001,4,3,3,433,Platinum
4475,3,1255.0,2,3,4,234,Silver
4434,2,1537.95,3,2,4,324,Gold
4512,1,1595.48,2,1,4,214,Silver
4478,3,2651.46,2,3,5,235,Silver
4440,1,1090.14,3,1,4,314,Gold
4391,25,8109.5199999999995,5,5,5,555,Titanium
4551,3,388.5,2,3,2,232,Silver
4440,1,216.17,3,1,1,311,Gold
4709,1,217.96,1,1,1,111,Bronze
4384,5,1245.9,5,4,4,544,Titanium
4401,8,2209.36,4,5,5,455,Platinum
4630,1,305.78000000000003,1,1,2,112,Bronze
4441,4,501.56,3,4,3,343,Gold
4457,1,145.67000000000002,2,1,1,211,Silver
4414,3,1100.49,4,3,4,434,Platinum
4390,2,3192.54,5,2,5,525,Titanium
4506,4,3109.68,2,4,5,245,Silver
4385,8,2770.94,5,5,5,555,Titanium
4405,13,6403.25,4,5,5,455,Platinum
4502,3,389.6,2,3,2,232,Silver
4741,1,540.45,1,1,3,113,Bronze
4436,5,1786.79,3,4,4,344,Gold
4446,1,122.7,3,1,1,311,Gold
4469,1,117.24,2,1,1,211,Silver
4437,1,1271.57,3,1,4,314,Gold
4404,13,3219.77,4,5,5,455,Platinum
4386,20,17159.52,5,5,5,555,Titanium
4385,5,1191.13,5,4,4,544,Titanium
4393,5,2674.48,5,4,5,545,Titanium
4390,5,791.95,5,4,3,543,Titanium
4572,2,506.8,1,2,3,123,Bronze
4454,1,243.56,3,1,1,311,Gold
4587,1,349.55,1,1,2,112,Bronze
4502,2,595.67,2,2,3,223,Silver
4475,1,416.90000000000003,2,1,2,212,Silver
4384,10,1883.8100000000002,5,5,4,554,Titanium
4409,4,632.97,4,4,3,443,Platinum
4680,1,821.1,1,1,3,113,Bronze
4406,3,692.78,4,3,3,433,Platinum
4411,4,2593.07,4,4,5,445,Platinum
4433,1,311.16,3,1,2,312,Gold
4708,1,155.93,1,1,1,111,Bronze
4399,2,388.52,4,2,2,422,Platinum
4566,3,740.95,1,3,3,133,Bronze
4455,5,2867.2000000000003,2,4,5,245,Silver
4420,2,332.64,3,2,2,322,Gold
4462,4,2369.55,2,4,5,245,Silver
4440,9,2580.91,3,5,5,355,Gold
4394,2,626.45,5,3,3,533,Titanium
4432,2,272.04,3,3,2,332,Gold
4432,2,1212.8400000000001,3,3,4,334,Gold
4734,1,172.25,1,1,1,111,Bronze
4436,1,351.13,3,1,2,312,Gold
4384,6,1838.8500000000001,5,5,4,554,Titanium
4475,4,678.25,2,4,3,243,Silver
4406,1,223.85000000000002,4,1,1,411,Platinum
4457,1,348.99,2,1,2,212,Silver
4393,4,464.57,5,4,2,542,Titanium
4552,2,842.65,2,3,3,233,Silver
4440,2,337.34,3,3,2,332,Gold
4478,2,1237.53,2,3,4,234,Silver
4677,1,307.4,1,1,2,112,Bronze
4492,2,608.7900000000001,2,3,3,233,Silver
4646,1,922.1,1,1,3,113,Bronze
4562,1,376.58,2,1,2,212,Silver
4552,1,158.85,2,1,1,211,Silver
4418,1,71.66,3,1,1,311,Gold
4406,3,568.55,4,3,3,433,Platinum
4400,4,839.14,4,4,3,443,Platinum
4404,5,5112.96,4,4,5,445,Platinum
4462,3,561.5699999999999,2,3,3,233,Silver
4448,1,90.6,3,1,1,311,Gold
4743,1,102.0,1,1,1,111,Bronze
4385,6,2427.32,5,5,5,555,Titanium
4394,4,745.06,5,4,3,543,Titanium
4559,3,674.45,2,3,3,233,Silver
4600,2,3251.071,1,3,5,135,Bronze
4390,7,3515.68,5,5,5,555,Titanium
4384,2,439.92,5,3,2,532,Titanium
4537,2,322.96,2,3,2,232,Silver
4388,5,1095.37,5,4,4,544,Titanium
4462,3,624.34,2,3,3,233,Silver
4404,2,230.22,4,3,1,431,Platinum
4404,2,169.54999999999998,4,3,1,431,Platinum
4691,4,664.54,1,4,3,143,Bronze
4528,1,80.7,2,1,1,211,Silver
4390,18,9102.17,5,5,5,555,Titanium
4401,8,2758.26,4,5,5,455,Platinum
4453,2,190.25,3,3,1,331,Gold
4670,1,264.7,1,1,2,112,Bronze
4432,1,413.59000000000003,3,1,2,312,Gold
4414,6,2600.29,4,5,5,455,Platinum
4589,1,357.98,1,1,2,112,Bronze
4397,2,196.79000000000002,5,3,1,531,Titanium
4456,1,869.87,2,1,3,213,Silver
4443,1,200.14,3,1,1,311,Gold
4422,4,1886.96,3,4,4,344,Gold
